ext,name,value
1101,credit,0.00000
1101,reminder,0.00000
1101,billing_type,internal
1101,my_account,
1101,package_date,
1115,credit,50.00000
1115,reminder,30.00000
1115,billing_type,internal
1115,my_account,
1115,package_date,
1103,credit,0.00000
1103,reminder,0.00000
1103,billing_type,internal
1103,my_account,
1103,package_date,
1106,credit,0.00000
1106,reminder,0.00000
1106,billing_type,internal
1106,my_account,
1106,package_date,
1109,credit,0.00000
1109,reminder,0.00000
1109,billing_type,internal
1109,my_account,
1109,package_date,
1112,credit,0.00000
1112,reminder,0.00000
1112,billing_type,internal
1112,my_account,
1112,package_date,
1113,credit,0.00000
1113,reminder,0.00000
1113,billing_type,internal
1113,my_account,
1113,package_date,
1114,credit,0.00000
1114,reminder,0.00000
1114,billing_type,internal
1114,my_account,
1114,package_date,
1117,credit,0.00000
1117,reminder,0.00000
1117,billing_type,internal
1117,my_account,
1117,package_date,
1125,credit,
1125,reminder,
1125,billing_type,internal
1125,my_account,
1125,package_date,
1126,credit,0.00000
1126,reminder,0.00000
1126,billing_type,internal
1126,my_account,
1126,package_date,
1127,credit,0.00000
1127,reminder,0.00000
1127,billing_type,internal
1127,my_account,
1127,package_date,
1128,credit,0.00000
1128,reminder,0.00000
1128,billing_type,internal
1128,my_account,
1128,package_date,
1130,credit,0.00000
1130,reminder,0.00000
1130,billing_type,internal
1130,my_account,
1130,package_date,
1141,credit,0.00000
1141,reminder,0.00000
1141,billing_type,internal
1141,my_account,
1141,package_date,
1142,credit,0.00000
1142,reminder,0.00000
1142,billing_type,internal
1142,my_account,
1142,package_date,
1144,credit,0.00000
1144,reminder,0.00000
1144,billing_type,internal
1144,my_account,
1144,package_date,
2210,credit,0.00000
2210,reminder,0.00000
2210,billing_type,internal
2210,my_account,
2210,package_date,
2211,credit,0.00000
2211,reminder,0.00000
2211,billing_type,internal
2211,my_account,
2211,package_date,
3314,credit,0.00000
3314,reminder,0.00000
3314,billing_type,internal
3314,my_account,
3314,package_date,
3318,credit,0.00000
3318,reminder,0.00000
3318,billing_type,internal
3318,my_account,
3318,package_date,
3320,credit,0.00000
3320,reminder,0.00000
3320,billing_type,internal
3320,my_account,
3320,package_date,
3321,credit,0.00000
3321,reminder,0.00000
3321,billing_type,internal
3321,my_account,
3321,package_date,
3323,credit,0.00000
3323,reminder,0.00000
3323,billing_type,internal
3323,my_account,
3323,package_date,
3324,credit,0.00000
3324,reminder,0.00000
3324,billing_type,internal
3324,my_account,
3324,package_date,
3327,credit,0.00000
3327,reminder,0.00000
3327,billing_type,internal
3327,my_account,
3327,package_date,
3330,credit,0.00000
3330,reminder,0.00000
3330,billing_type,internal
3330,my_account,
3330,package_date,
3331,credit,0.00000
3331,reminder,0.00000
3331,billing_type,internal
3331,my_account,
3331,package_date,
4444,credit,0.00000
4444,reminder,0.00000
4444,billing_type,internal
4444,my_account,
4444,package_date,
5001,credit,0.00000
5001,reminder,0.00000
5001,billing_type,internal
5001,my_account,
5001,package_date,
5002,credit,0.00000
5002,reminder,0.00000
5002,billing_type,internal
5002,my_account,
5002,package_date,
5004,credit,0.00000
5004,reminder,0.00000
5004,billing_type,internal
5004,my_account,
5004,package_date,
5005,credit,0.00000
5005,reminder,0.00000
5005,billing_type,internal
5005,my_account,
5005,package_date,
5012,credit,0.00000
5012,reminder,0.00000
5012,billing_type,internal
5012,my_account,
5012,package_date,
7010,credit,0.00000
7010,reminder,0.00000
7010,billing_type,internal
7010,my_account,
7010,package_date,
1115,balance,0
1141,balance,0
5005,balance,0
3323,balance,0
3318,balance,0
1101,balance,0
1127,balance,0
1112,balance,0
1142,balance,0
7010,balance,0
1144,balance,0
1103,balance,0
5001,balance,0
1126,balance,0
1125,balance,0
3320,balance,0
1109,balance,0
1130,balance,0
2210,balance,0
1113,balance,0
3324,balance,0
1114,balance,0
3330,balance,0
1128,balance,0
3331,balance,0
3321,balance,0
3314,balance,0
2211,balance,0
1106,balance,0
5002,balance,0
1117,balance,0
5004,balance,0
3327,balance,0
2218,credit,0.00000
2218,reminder,0.00000
2218,billing_type,internal
2218,my_account,
2218,package_date,
2218,balance,0
5012,balance,0
4444,balance,0
7009,credit,0.00000
7009,reminder,0.00000
7009,billing_type,internal
7009,my_account,
7009,package_date,
7009,balance,0
888,balance,0
8888,balance,0
2220,credit,0.00000
2220,reminder,0.00000
2220,billing_type,internal
2220,my_account,
2221,credit,0.00000
2221,reminder,0.00000
2221,billing_type,internal
2221,my_account,
2220,balance,0
2221,balance,0
1143,credit,0.00000
1143,reminder,0.00000
1143,billing_type,internal
1143,my_account,
1143,package_date,
7011,credit,0.00000
7011,reminder,0.00000
7011,billing_type,internal
7011,my_account,
7011,balance,0
2213,credit,0.00000
2213,reminder,0.00000
2213,billing_type,internal
2213,my_account,
2213,package_date,
2213,balance,0
1143,balance,0
3329,credit,0.00000
3329,reminder,0.00000
3329,billing_type,internal
3329,my_account,
3329,package_date,
3334,credit,0.00000
3334,reminder,0.00000
3334,billing_type,internal
3334,my_account,
3334,package_date,
3334,balance,0
3335,credit,0.00000
3335,reminder,0.00000
3335,billing_type,internal
3335,my_account,
3335,package_date,
3329,balance,0
3335,balance,0
3336,credit,0.00000
3336,reminder,0.00000
3336,billing_type,internal
3336,my_account,
3336,balance,0
1102,credit,0.00000
1102,reminder,0.00000
1102,billing_type,internal
1102,my_account,
1102,package_date,
6005,credit,0.00000
6005,reminder,0.00000
6005,billing_type,internal
6005,my_account,
6005,package_date,
6006,credit,0.00000
6006,reminder,0.00000
6006,billing_type,internal
6006,my_account,
6006,package_date,
6007,credit,0.00000
6007,reminder,0.00000
6007,billing_type,internal
6007,my_account,
6007,package_date,
6007,balance,0
6005,balance,0
6006,balance,0
1102,balance,0
3333,credit,0.00000
3333,reminder,0.00000
3333,billing_type,internal
3333,my_account,
3333,balance,0
6008,credit,0.00000
6008,reminder,0.00000
6008,billing_type,internal
6008,my_account,
6008,package_date,
6008,balance,0
4445,credit,0.00000
4445,reminder,0.00000
4445,billing_type,internal
4445,my_account,
4445,package_date,
4446,credit,0.00000
4446,reminder,0.00000
4446,billing_type,internal
4446,my_account,
4445,balance,0
4446,balance,0
2226,credit,0.00000
2226,reminder,0.00000
2226,billing_type,internal
2226,my_account,
2226,package_date,
2226,balance,0
1145,credit,0.00000
1145,reminder,0.00000
1145,billing_type,internal
1145,my_account,
3336,package_date,
3337,credit,0.00000
3337,reminder,0.00000
3337,billing_type,internal
3337,my_account,
3337,package_date,
3338,credit,0.00000
3338,reminder,0.00000
3338,billing_type,internal
3338,my_account,
3338,package_date,
3338,balance,0
3337,balance,0
3328,credit,0.00000
3328,reminder,0.00000
3328,billing_type,internal
3328,my_account,
3328,package_date,
3328,balance,0
1145,balance,0
2215,credit,0.00000
2215,reminder,0.00000
2215,billing_type,internal
2215,my_account,
2215,package_date,
2212,credit,0.00000
2212,reminder,0.00000
2212,billing_type,internal
2212,my_account,
2212,package_date,
