ext,name,value
6001,name,IT
6001,members,1109|1112|1125|1126|1128|1141|1142|1144|5004|7010|1130|1127|7009|1143|1115|
6001,max,30
6001,qrings,0
6001,qgroup,NULL
6001,maxwait,300
6001,maxwait_ext,2000
6001,rcallerid,Q%CALLERID%
6001,language,en
6001,callgroup,NULL
6001,musicclass,
6001,incomingopts,t
6001,redirect,2000
6001,redirect_vmail,1
6001,greeting,
6001,recording,1
6001,rtpdelay,1
6001,url,
6001,customring,
6001,greeting_wait,0
6001,emptydest,2000
6001,emptydest_vm,0
6001,abandonednotifymail,ramana@voipoffice.com
6001,abandonednotify,yes
6001,rindtimeout,0
6001,staticlogin,no
6001,callback-abandoned,
6001,callback-empty,no
6001,callback-full,no
6001,callback-timedout,no
6001,callback-retries,NULL
6001,callback-ring-timeout,0
6001,callback-retry-timeout,0
6001,callback-announce-holdtime,no
6001,callback-maxwait,NULL
6001,callback-agent-answer,NULL
6001,callback-callerid-length,NULL
6001,callback-callerid-only,NULL
6001,callback-ivr-digit-timeout,NULL
6001,callback-ivr-retries,NULL
6001,callback-ivr-confirm-digit,NULL
6001,callback-ivr-discard-digit,NULL
6001,callback-ivr-cancel-digit,NULL
6001,callback-snd-announce,NULL
6001,callback-snd-announce-agent,NULL
6001,ring-timeout,10
6001,crm_url,
6001,member_es_disable,0
6001,agent_autoanswer,0
6001,ring-inuse,0
6001,detectdeadcallers,0
6020,name,Billing
6020,members,1103|a-7010:1|
6020,max,30
6020,qrings,0
6020,qgroup,NULL
6020,maxwait,300
6020,maxwait_ext,5004
6020,rcallerid,B%CALLERID%
6020,language,en
6020,callgroup,NULL
6020,musicclass,
6020,incomingopts,t
6020,redirect,2002
6020,redirect_vmail,1
6020,greeting,
6020,recording,1
6020,rtpdelay,1
6020,url,
6020,customring,
6020,greeting_wait,0
6020,emptydest,2002
6020,emptydest_vm,1
6020,abandonednotifymail,srujana@voipoffice.com
6020,abandonednotify,yes
6020,rindtimeout,0
6020,staticlogin,no
6020,callback-activate-abandoned,NULL
6020,callback-min-talk-time,
6020,callback-empty,no
6020,callback-full,no
6020,callback-timedout,no
6020,callback-retries,NULL
6020,callback-ring-timeout,0
6020,callback-retry-timeout,0
6020,callback-announce-holdtime,no
6020,callback-maxwait,NULL
6020,callback-agent-answer,NULL
6020,callback-callerid-length,NULL
6020,callback-callerid-only,NULL
6020,callback-ivr-digit-timeout,NULL
6020,callback-ivr-retries,NULL
6020,callback-ivr-confirm-digit,NULL
6020,callback-ivr-discard-digit,NULL
6020,callback-ivr-cancel-digit,NULL
6020,callback-snd-announce,NULL
6020,callback-snd-announce-agent,NULL
6020,ring-timeout,15
6020,crm_url,
6020,member_es_disable,0
6020,agent_autoanswer,0
6020,ring-inuse,0
6020,detectdeadcallers,0
